Predicted    0    1    2   3  4   5   6   7   8
Actual                                         
0          148    1    0   0  0   1   0   3   0
1            8  229    0   1  0   0   0   3   6
2            0    0  250   0  0  43   0   0   0
3            0    1    0  27  0  15   0   1   2
4            0    0    0   0  0   2   0   0   1
5            6    1    0   0  0  55   0   2  10
6            0    1    0   0  0   0  35   1   2
7            7    5    0   4  0   5   0  99   1
8            1    3    0   1  0  16   1   0  78
