Predicted    0    1    2  3  4  5   6   7   8
Actual                                       
0          141    2    1  0  0  0   7   2   0
1           10  227    5  0  0  0   0   0   5
2            0    0  293  0  0  0   0   0   0
3            1    1   44  0  0  0   0   0   0
4            0    0    2  0  0  0   0   0   1
5            4    1   47  0  0  0   4  17   1
6            2    1    1  0  0  0  33   1   1
7            8    3   98  0  0  0   2   8   2
8            2    5   73  0  0  0   0   2  18
