Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          376    3    0   0  0    2   0    4    1
1            9  600    0   0  0    0   5    1    5
2            1    0  732   0  0    2   0    1    0
3            0    2    8  95  0   13   1    0    0
4            0    0    1   0  6    3   0    0    1
5            4    1   20   2  0  158   0    1    2
6            0    2    0   0  0    0  94    3    1
7           12    6    5   0  0    3   0  280    1
8            5    4    1   1  3    4   0    1  235
