Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          369    3    0   0  0    3   2    8    1
1            3  597    0   0  0    1   5    4   10
2            0    0  661   1  0   73   0    1    0
3            1    1    0  96  0   11   0    1    9
4            0    0    0   0  2    4   0    0    5
5            3    0    3   2  0  173   0    1    6
6            1    0    0   0  0    2  97    0    0
7            8    3    1   1  0    6   0  285    3
8            0    5    0   0  0    7   1    2  239
