Predicted    0    1    2    3  4    5   6    7    8
Actual                                             
0          372    2    0    0  1    2   1    6    2
1            6  595    0    1  0    0   1    7   10
2            0    0  647    2  0   87   0    0    0
3            0    0    1  100  2    9   1    1    5
4            0    0    0    0  3    3   0    1    4
5            2    0    2    2  1  174   1    2    4
6            1    0    0    0  0    1  96    2    0
7            9    4    0    1  1    5   0  287    0
8            1    3    1    0  1    2   0    0  246
