Predicted    0    1    2    3  4    5   6    7    8
Actual                                             
0          363   11    0    0  0    3   0    7    2
1            5  601    0    0  1    0   4    2    7
2            0    0  725    1  1    7   0    0    2
3            0    1    1  101  1    7   1    4    3
4            0    0    1    0  2    0   0    0    8
5            1    3   10    5  1  111   0    7   50
6            0    1    0    0  0    0  94    2    3
7            8   13    2    3  1    2   0  275    3
8            0    4    0    1  0    0   1    3  245
