Predicted    0    1    2  3  4  5   6    7   8
Actual                                        
0          148    2    0  0  0  0   0    2   1
1            6  234    0  0  0  1   1    2   3
2            0    0  250  0  0  0   0    0  43
3            0    1    0  0  0  0   0    1  44
4            0    0    0  0  0  0   0    0   3
5            6    1    0  0  0  0   1    2  64
6            1    0    0  0  0  0  35    0   3
7            8    3    0  0  0  0   0  102   8
8            3    4    0  0  0  2   1    2  88
