Predicted    0    1    2   3  4   5   6   7   8
Actual                                         
0          135    0    3   0  0  10   0   4   1
1           10  226    0   1  0   1   0   4   5
2            0    0  293   0  0   0   0   0   0
3            0    1   14  12  0  16   0   1   2
4            0    0    2   0  0   0   0   0   1
5            2    1   33   0  0  29   0   1   8
6            0    1    0   0  0   0  34   1   3
7            8    2    3   1  0   1   0  98   8
8            1    4   13   0  0   8   0   5  69
