Predicted    0    1    2   3  4   5  6    7    8
Actual                                          
0          353    0    3   2  0   1  0   17   10
1           10  584    2   4  0   2  0    7   11
2            0    0  714   2  0  20  0    0    0
3            0    1   40  27  0  45  0    5    1
4            0    0    1   0  0   7  0    0    3
5           11    4   30   2  0  80  0    2   59
6            0    1    0   2  0   1  0    2   94
7           12    8    2   1  0   8  0  241   35
8            1   11    1   1  0  45  0   21  174
