Predicted    0    1    2    3   4    5   6    7    8
Actual                                              
0          366    7    0    2   0    0   1    9    1
1            6  605    1    1   0    0   1    3    3
2            0    0  721    9   0    6   0    0    0
3            0    1    1  114   0    0   0    2    1
4            0    0    0    5   6    0   0    0    0
5            3    0   21   30   1  129   0    3    1
6            0    0    0    0   0    0  96    3    1
7            8    6    2    4   0    2   0  285    0
8            2    5    3    2  15    7   1    6  213
