Predicted    0    1    2   3  4   5   6   7   8
Actual                                         
0          136    6    4   0  0   0   2   0   5
1            4  235    1   0  0   0   0   1   6
2            0    0  293   0  0   0   0   0   0
3            0    1   19  15  0   7   0   3   1
4            0    0    2   0  0   0   0   0   1
5            7    1   36   3  0  14   0   1  12
6            3    1    0   0  0   0  32   0   3
7            6    4    2   3  0   4   0  92  10
8            0    8   19   2  0  10   0   7  54
