Predicted    0    1    2  3  4  5   6   7   8
Actual                                       
0          147    3    0  0  0  0   0   2   1
1           12  231    0  0  0  0   0   0   4
2            0    0  250  0  0  0   0   0  43
3            0    1    0  0  0  0   0   1  44
4            0    0    0  0  0  0   0   0   3
5            6    1    0  0  0  0   0   1  66
6            1    1    0  0  0  0  36   0   1
7           10    2    0  0  0  0   0  99  10
8            2    6    0  0  0  0   1   1  90
