Predicted    0    1    2  3  4   5   6   7   8
Actual                                        
0          146    1    0  0  0   1   0   3   2
1            6  235    0  0  0   1   0   1   4
2            0    0  265  0  0  28   0   0   0
3            1    1    0  2  0  31   0   1  10
4            0    0    0  0  0   2   0   0   1
5            6    1    4  0  0  46   0   2  15
6            2    2    0  0  0   0  34   0   1
7            7    5    0  0  0   3   0  99   7
8            1    6    0  0  0  16   0   4  73
