Predicted    0    1    2  3  4  5   6    7    8
Actual                                         
0          371    3    0  0  0  0   0    5    7
1           34  577    0  0  0  0   3    0    6
2            0    0  625  0  0  0   0    0  111
3            1    1    0  0  0  0   0    1  116
4            0    0    0  0  0  0   0    0   11
5           11    4    0  0  0  0   0    2  171
6            3    1    0  0  0  0  91    0    5
7           22    6    0  0  0  0   0  251   28
8           15    8    1  0  0  0   4    3  223
