Predicted    0    1    2   3  4   5   6    7    8
Actual                                           
0          366    3    1   0  0   0   0    8    8
1           21  586    0   1  0   1   0    9    2
2            0    0  730   3  0   3   0    0    0
3            1    1   25  67  0  14   0    1   10
4            0    0    1   5  0   2   0    2    1
5           13    1   50  51  0  53   0    2   18
6            4    5    0   0  0   0  87    0    4
7           18   10    2   5  0   4   0  254   14
8            5   13    1  41  0   5   1   14  174
