Predicted    0    1    2  3  4   5   6    7   8
Actual                                         
0          138    6    0  0  0   1   3    5   0
1            5  230    0  0  0   1   0    7   4
2            0    0  292  0  0   1   0    0   0
3            0    1   39  0  0   4   0    2   0
4            0    0    0  0  0   2   0    0   1
5            6    1   12  0  0  39   0    2  14
6            0    2    0  0  0   0  35    1   1
7            6    2    3  0  0   2   2  101   5
8            0    5    1  0  0  13   0    6  75
