Predicted    0    1    2   3  4   5   6    7    8
Actual                                           
0          361    2    3   1  0   0   4    0   15
1           16  590    0   1  0   0   0    1   12
2            0    0  729   3  0   4   0    0    0
3            0    0   41  56  0  10   0    2   10
4            0    0    5   1  0   2   0    0    3
5           13    3   71  16  0  10   0    1   74
6            8    2    0   0  0   0  82    1    7
7           16    4    5   7  0   1   1  211   62
8            3   11    6  33  0  10   2    6  183
