Predicted    0    1    2  3  4  5   6    7    8
Actual                                         
0          362    0    1  0  0  0   5   11    7
1           13  592    6  0  0  0   4    1    4
2            0    0  625  0  0  0   0    0  111
3            0    2    0  0  0  0   0    1  116
4            0    0    0  0  0  0   0    0   11
5           11    1    1  0  0  0   1    3  171
6            0    5    3  0  0  0  88    1    3
7           21    6    0  0  0  0   1  245   34
8            8   17    1  0  0  0   3    5  220
